vid_l,vid_r
0.9924173404254386,0.9862930689304554
0.9867224877749412,0.9828137855711123
0.9781923131575846,0.9463766638252187
0.9928548995111581,0.9929553709799631
0.9943200226629507,0.9950557476413767
0.9898368663548646,0.9951377260125945
0.9924840459186913,0.9948479374216834
0.9906091961184718,0.9942930343544172
0.9909957731050101,0.9959294480677364
0.9955287891444088,0.9972868312245449
0.9947998084360877,0.9969278291289023
0.9895324971224685,0.9917571965463998
0.991337874213815,0.9962223566813391
0.992452014973252,0.99682052173897
0.9914638693238396,0.9961270732434908
0.989458801470902,0.9925085479375209
0.9909596286791319,0.9949235998648135
0.9904389484803942,0.9921586206420843
0.9935319286016078,0.9607779044671291
0.9443310341326994,0.8866731530420211
0.8825819316573058,0.9720316622002271
0.9624401160841329,0.9840843214176357
0.9789614100317401,0.9874698543799777
0.9841421780103973,0.9913657438644032
0.9924568658327594,0.9929952894173667
0.9907697870069685,0.9930129344027268
0.9844605476474958,0.9911113388428359
0.9855336591158528,0.9900110949518544
0.9918506574043537,0.9929097769586003
0.9917744336423321,0.9939446396490743
0.9908123484348776,0.9923527579628708
0.9928921955226727,0.9931286657253968
0.9914548256463428,0.9950546107606335
0.9934104636784546,0.9950671667091057
0.9921333556690557,0.9930196438649688
0.9892072542381443,0.9924335346250484
0.9885746910741183,0.9954819973407919
0.9922052177725815,0.9949277145299273
0.9919548420557597,0.9939976126710423
0.9916596765382523,0.9932693727687157
0.9922307162063815,0.9950292043183019
0.989498179519373,0.9947665734844231
0.9941624237643505,0.9935830086440617
0.9928093887739692,0.9943811934781033
0.9942655461055482,0.9960484733825593
0.9938428677226954,0.7892799635948392
0.9361056719094806,0.8474158082316433
0.9374196219974142,0.9758613885342248
0.9752049658168139,0.9546184832159417
0.9680138505076716,0.9910846553951344
0.9845236718042534,0.9914841853467801
0.9926825451014282,0.9926763907547604
0.9931762471117855,0.9930694290514275
0.9924227953848365,0.9895256235697844
0.9922246053046618,0.9865384845568095
0.9892063868013415,0.9923878056925821
0.988816067613522,0.993788864839471
0.9883362612818809,0.9908094400634195
0.9918619793353237,0.9929200205724128
0.9810071412827094,0.9918371634453782
0.9807954880290946,0.9919377834170501
0.9784590610169923,0.898239018849789
0.881359205504757,0.8897018408997813
0.9038413414169211,0.948085676381662
0.9520878146881624,0.9544342814941875
0.9480787670365368,0.9537575694635493
0.9734094729093538,0.9704244617263886
0.9861596340462434,0.9896588116962894
0.9894320672443372,0.9920785614438936
0.9916350806437625,0.9882872110029006
0.9906281663614896,0.9921653211585181
0.9896874733096189,0.9918636024497901
0.9913886158662633,0.9932902327831844
0.9925671988868102,0.993569451935779
0.9920966104064906,0.99332346220479
0.988850060979142,0.993082685498876
0.9820222126760276,0.9944678248217966
0.9897445117593666,0.9939154244365433
0.8841121665008183,0.8194827040306438
